episode,timestep,reward,steps,visibility_pct,survived,mean_action_mag,mean_action_jerk,r_track_sum,r_alive_sum,r_jerk_sum,term_reason
1,116,4.96,116,58.6,0,0.5004,0.6573,-6.636,11.6,0.0,
2,201,-2.81,85,56.5,0,0.5218,0.6791,-11.314,8.5,0.0,
3,276,-16.11,75,54.7,0,0.5302,0.697,-23.615,7.5,0.0,
4,348,6.03,72,70.8,0,0.5252,0.6576,-1.169,7.2,0.0,
5,406,-9.31,58,50.0,0,0.5289,0.7048,-15.106,5.8,0.0,
6,469,5.08,63,61.9,0,0.533,0.6736,-1.224,6.3,0.0,
7,521,-16.0,52,42.3,0,0.5369,0.6997,-21.204,5.2,0.0,
8,583,-8.05,62,62.9,0,0.5355,0.7035,-14.247,6.2,0.0,
9,661,-28.93,78,39.7,0,0.4854,0.6645,-36.729,7.8,0.0,
10,707,-14.8,46,41.3,0,0.5597,0.7676,-19.399,4.6,0.0,
11,806,-69.33,99,24.2,0,0.4995,0.6347,-69.228,9.9,0.0,altitude_low
12,902,-38.3,96,38.5,0,0.5164,0.7274,-47.897,9.6,0.0,
13,973,-24.74,71,38.0,0,0.5156,0.6775,-31.842,7.1,0.0,
14,1145,0.98,172,73.3,0,0.5171,0.7074,-6.216,17.2,0.0,altitude_low
15,1247,-52.26,102,31.4,0,0.5136,0.6711,-62.462,10.2,0.0,
16,1392,-5.27,145,65.5,0,0.5077,0.6594,-9.768,14.5,0.0,altitude_low
17,1505,8.82,113,77.9,0,0.513,0.6581,-2.478,11.3,0.0,
18,1593,-4.02,88,68.2,0,0.4976,0.6616,-12.821,8.8,0.0,
19,1731,-22.5,138,55.1,0,0.5103,0.6597,-26.296,13.8,0.0,altitude_low
20,1873,69.62,142,97.9,0,0.5216,0.6715,55.424,14.2,0.0,
21,1993,32.53,120,77.5,0,0.5388,0.6747,20.527,12.0,0.0,
22,2118,15.44,125,87.2,0,0.5029,0.6316,2.936,12.5,0.0,
23,2257,40.45,139,95.0,0,0.5155,0.6916,36.551,13.9,0.0,altitude_low
24,2465,126.69,208,100.0,0,0.504,0.6358,105.886,20.8,0.0,
25,2627,103.71,162,97.5,0,0.491,0.6552,87.509,16.2,0.0,
26,2846,32.34,219,79.0,0,0.5018,0.6582,20.436,21.9,0.0,altitude_low
27,3184,147.45,338,89.1,0,0.5066,0.6626,113.647,33.8,0.0,
28,3393,122.88,209,95.7,0,0.4856,0.6207,101.984,20.9,0.0,
29,3636,142.59,243,99.6,0,0.5047,0.6567,118.294,24.3,0.0,
30,3964,235.35,328,100.0,0,0.4717,0.6378,212.55,32.8,0.0,altitude_high
31,4223,156.09,259,98.8,0,0.4919,0.6562,130.187,25.9,0.0,
32,4407,125.95,184,100.0,0,0.4987,0.6615,117.546,18.4,0.0,altitude_high
33,4666,240.02,259,100.0,0,0.4741,0.6461,224.118,25.9,0.0,altitude_high
34,4840,163.26,174,100.0,0,0.505,0.6726,155.861,17.4,0.0,altitude_high
35,5020,102.99,180,100.0,0,0.5156,0.6787,94.992,18.0,0.0,altitude_high
36,5210,103.4,190,98.9,0,0.5303,0.6073,84.401,19.0,0.0,
37,5381,79.05,171,93.6,0,0.5405,0.6915,71.953,17.1,0.0,altitude_high
38,5575,79.08,194,87.6,0,0.5019,0.6199,59.676,19.4,0.0,
39,5756,139.99,181,100.0,0,0.5426,0.6235,131.888,18.1,0.0,altitude_high
40,5945,22.66,189,65.6,0,0.5428,0.6232,3.761,18.9,0.0,
41,6145,174.97,200,100.0,0,0.5179,0.6259,154.97,20.0,0.0,
42,6365,152.39,220,100.0,0,0.5163,0.6313,130.389,22.0,0.0,
43,6563,176.51,198,100.0,0,0.4585,0.6031,156.707,19.8,0.0,
44,6694,82.42,131,100.0,0,0.5545,0.6388,79.319,13.1,0.0,altitude_high
45,6847,49.88,153,76.5,0,0.5657,0.6799,34.576,15.3,0.0,
46,7038,141.0,191,100.0,0,0.462,0.5964,131.899,19.1,0.0,altitude_low
47,7253,144.25,215,100.0,0,0.4867,0.6746,132.746,21.5,0.0,altitude_low
48,7430,9.8,177,54.8,0,0.4921,0.6172,-7.9,17.7,0.0,
49,7611,-33.58,181,44.8,0,0.5458,0.6459,-51.678,18.1,0.0,lost_target
50,7781,96.05,170,89.4,0,0.4955,0.5885,79.052,17.0,0.0,
51,7941,29.15,160,73.8,0,0.5242,0.5285,13.15,16.0,0.0,
52,8107,140.8,166,99.4,0,0.5128,0.5407,134.205,16.6,0.0,altitude_low
53,8294,129.78,187,97.9,0,0.5105,0.5414,111.079,18.7,0.0,
54,8467,68.51,173,95.4,0,0.556,0.5192,51.214,17.3,0.0,
55,8648,143.27,181,100.0,0,0.4922,0.5385,125.166,18.1,0.0,
56,8758,12.73,110,68.2,0,0.5722,0.4495,11.735,11.0,0.0,altitude_high
57,8892,116.15,134,100.0,0,0.4419,0.5787,102.753,13.4,0.0,
58,9063,126.7,171,100.0,0,0.4222,0.5235,119.6,17.1,0.0,altitude_low
59,9202,122.47,139,100.0,0,0.4827,0.5712,108.568,13.9,0.0,
60,9368,134.35,166,100.0,0,0.4516,0.4897,117.746,16.6,0.0,
61,9514,116.55,146,100.0,0,0.4353,0.5084,101.946,14.6,0.0,
62,9687,117.09,173,100.0,0,0.429,0.5641,99.789,17.3,0.0,
63,9875,134.07,188,100.0,0,0.5201,0.4919,115.269,18.8,0.0,
64,10193,255.02,318,100.0,0,0.4741,0.475,223.219,31.8,0.0,
65,10343,111.96,150,100.0,0,0.5057,0.4906,106.956,15.0,0.0,altitude_high
66,10502,148.15,159,100.0,0,0.4665,0.5768,132.25,15.9,0.0,
67,10673,147.25,171,100.0,0,0.4516,0.5591,140.154,17.1,0.0,altitude_low
68,10806,102.04,133,100.0,0,0.4884,0.552,88.741,13.3,0.0,
69,10993,96.12,187,79.1,0,0.5144,0.5325,77.417,18.7,0.0,
70,11136,-26.96,143,53.1,0,0.5951,0.4784,-41.261,14.3,0.0,
71,11462,25.99,326,72.7,0,0.5786,0.4317,-6.608,32.6,0.0,
72,11665,202.04,203,100.0,0,0.4711,0.5532,181.742,20.3,0.0,
73,11859,120.51,194,100.0,0,0.4412,0.3625,101.112,19.4,0.0,
74,11998,119.07,139,100.0,0,0.4341,0.4593,105.166,13.9,0.0,
75,12149,96.17,151,100.0,0,0.3562,0.4377,81.073,15.1,0.0,
76,12312,138.96,163,100.0,0,0.4655,0.5033,122.657,16.3,0.0,
77,12471,132.75,159,99.4,0,0.4113,0.4499,116.846,15.9,0.0,
78,12614,92.52,143,100.0,0,0.4913,0.326,78.216,14.3,0.0,
79,12765,109.43,151,98.7,0,0.4567,0.4292,104.326,15.1,0.0,altitude_low
80,12903,23.4,138,79.0,0,0.5427,0.3303,19.597,13.8,0.0,altitude_high
81,13053,126.16,150,100.0,0,0.4399,0.5271,111.162,15.0,0.0,
82,13269,140.04,216,92.6,0,0.3694,0.4122,118.441,21.6,0.0,
83,13466,77.58,197,84.8,0,0.3943,0.3953,57.881,19.7,0.0,
84,13630,84.0,164,93.3,0,0.481,0.3115,67.6,16.4,0.0,
85,13785,138.15,155,100.0,0,0.4727,0.3543,122.647,15.5,0.0,
86,13930,113.02,145,100.0,0,0.4543,0.3967,98.524,14.5,0.0,
87,14088,102.15,158,100.0,0,0.5585,0.4352,96.347,15.8,0.0,altitude_high
88,14241,99.17,153,89.5,0,0.4736,0.4042,83.874,15.3,0.0,
89,14446,48.44,205,73.2,0,0.6126,0.3184,27.94,20.5,0.0,
90,14703,122.86,257,96.5,0,0.3678,0.3228,97.163,25.7,0.0,
91,14886,110.17,183,88.0,0,0.4813,0.312,91.873,18.3,0.0,
92,15012,16.49,126,73.8,0,0.4385,0.3883,3.888,12.6,0.0,
93,15191,93.17,179,85.5,0,0.4651,0.3114,75.272,17.9,0.0,
94,15325,104.77,134,100.0,0,0.5046,0.4112,101.37,13.4,0.0,altitude_high
95,15481,102.24,156,100.0,0,0.5295,0.4126,96.642,15.6,0.0,altitude_high
96,15656,131.55,175,100.0,0,0.4565,0.443,124.048,17.5,0.0,altitude_high
